feature,low_risk_mean,medium_risk_mean,high_risk_mean,trend
30、我觉得心平气和，并且容易安静坐着。,1.2,0.9466666666666667,0.6133333333333333,decreasing
64、出现腹痛是否出现在进食油腻或饮酒之后？,0.8,0.72,0.6,decreasing
66、你的性格特点？,1.42,1.3733333333333333,1.0533333333333332,decreasing
63、发现胆囊结石以来是否出现过腹痛？,0.8,0.7066666666666667,0.64,decreasing
17、近一年是否经常点外卖,1.9,1.4266666666666667,1.3733333333333333,decreasing
5、您的身高是多少厘米？,14.26,17.04,17.773333333333333,increasing
30、我容易入睡，并且一夜睡得很好。,0.98,0.9466666666666667,0.6533333333333333,decreasing
31、夜间夜醒或早醒。,1.46,1.48,1.9333333333333333,increasing
50、水。（一杯500毫升。）,2.88,3.7466666666666666,4.453333333333333,increasing
50、含咖啡和糖的非碳酸饮料。（如雀巢咖啡一瓶330毫升。）,4.24,4.0,3.1466666666666665,decreasing
